Provider State	Provider Name	Penalty Date	Penalty Type	Fine Amount
AL	SUMMERFORD NURSING HOME INC	02/23/2017	Fine	13408
AL	CAMDEN NURSING FACILITY INC.	11/12/2016	Fine	162246
AL	DIVERSICARE OF WINFIELD	06/28/2017	Fine	1363
AL	GRAND BAY CONVALESCENT HOME, INC.	06/09/2016	Fine	4550
AL	GRAND BAY CONVALESCENT HOME, INC.	06/09/2016	Payment Denial	
AL	ORCHARD REHABILITATION & HEALTHCARE CENTER	03/16/2018	Fine	13627
AL	ROBERTSDALE REHABILITATION & HEALTHCARE CTR	08/23/2018	Fine	147630
AK	YUKON KUSKOKWIM ELDER'S HOME	02/14/2017	Fine	13787
AK	YUKON KUSKOKWIM ELDER'S HOME	02/14/2017	Fine	8450
AK	YUKON KUSKOKWIM ELDER'S HOME	11/09/2018	Fine	8775
AZ	GOOD SAMARITAN SOCIETY-QUIBURI MISSION	02/05/2018	Fine	8775
AZ	CHINLE NURSING HOME	09/29/2017	Payment Denial	
AZ	ARCHIE HENDRICKS SENIOR SKILLED NURSING FACILITY	09/24/2016	Fine	65167
AZ	ARCHIE HENDRICKS SENIOR SKILLED NURSING FACILITY	09/24/2016	Payment Denial	
AR	HEARTLAND REHABILITATION AND CARE CENTER	12/23/2016	Fine	13567
AR	VILLAGE SPRINGS HEALTH AND REHABILITATION	03/01/2017	Fine	7938
AR	VILLAGE SPRINGS HEALTH AND REHABILITATION	06/12/2018	Fine	8125
AR	ADVANCED HEALTH AND REHAB OF UNION COUNTY	04/07/2017	Fine	59930
AR	ADVANCED HEALTH AND REHAB OF UNION COUNTY	01/26/2018	Fine	47269
AR	ADVANCED HEALTH AND REHAB OF UNION COUNTY	04/23/2018	Fine	106441
AR	ALLAY HEALTH AND REHAB	05/17/2017	Fine	13377
AR	ALLAY HEALTH AND REHAB	09/19/2018	Fine	14719
AR	MONETTE MANOR LLC	07/29/2016	Fine	7025
AR	MONETTE MANOR LLC	07/29/2016	Payment Denial	
TX	LYTLE NURSING HOME	04/05/2018	Fine	33737
AR	THREE RIVERS HEALTHCARE AND REHABILITATION	05/26/2017	Fine	7964
AR	THREE RIVERS HEALTHCARE AND REHABILITATION	10/06/2017	Fine	10102
AR	THREE RIVERS HEALTHCARE AND REHABILITATION	11/15/2017	Fine	13627
AR	THREE RIVERS HEALTHCARE AND REHABILITATION	01/04/2018	Fine	46956
AR	THREE RIVERS HEALTHCARE AND REHABILITATION	05/02/2018	Fine	7153
AR	RECTOR NURSING AND REHAB	12/28/2017	Fine	11050
AR	WHITE RIVER HEALTHCARE	10/20/2016	Fine	8632
AR	RANDOLPH COUNTY NURSING HOME	08/19/2016	Fine	19988
AR	EVERGREEN LIVING CENTER AT STAGECOACH	08/17/2016	Fine	7800
AR	EVERGREEN LIVING CENTER AT STAGECOACH	01/11/2018	Fine	5103
CA	SANTA ANITA CONVALESCENT HOSP	11/18/2016	Fine	44968
CA	SANTA ANITA CONVALESCENT HOSP	11/18/2016	Payment Denial	
CA	SANTA ANITA CONVALESCENT HOSP	06/22/2017	Fine	10000
CA	SANTA ANITA CONVALESCENT HOSP	05/29/2018	Fine	124693
CA	SANTA ANITA CONVALESCENT HOSP	05/29/2018	Payment Denial	
CA	BELLFLOWER POST ACUTE	04/28/2018	Fine	18000
CA	BELLFLOWER POST ACUTE	10/22/2018	Fine	70112
CA	MAYERS MEMORIAL HOSPITAL	10/09/2017	Fine	73080
CA	MAYERS MEMORIAL HOSPITAL	02/01/2018	Fine	60561
CA	MAYERS MEMORIAL HOSPITAL	02/01/2018	Payment Denial	
CA	FLOWER VILLA, INC	11/21/2016	Fine	17339
CA	FLOWER VILLA, INC	11/21/2016	Payment Denial	
CA	FLOWER VILLA, INC	12/23/2017	Fine	6500
CT	EVERGREEN HEALTH CARE CENTER	08/25/2016	Fine	1365
CT	EVERGREEN HEALTH CARE CENTER	07/13/2017	Fine	4225
CT	HAMDEN REHABILITATION & HEALTH CARE CENTER	04/23/2018	Fine	8206
CT	BEACON BROOK HEALTH CENTER	09/09/2016	Fine	6539
CT	BEACON BROOK HEALTH CENTER	07/27/2017	Fine	7150
CT	BEACON BROOK HEALTH CENTER	09/05/2017	Fine	8125
FL	SINAI PLAZA NURSING & REHAB CENTER	03/09/2017	Fine	11116
DC	UNITED MEDICAL NURSING HOME	12/05/2016	Fine	121961
DC	UNITED MEDICAL NURSING HOME	11/09/2017	Fine	16805
FL	BEAR CREEK NURSING CENTER	06/17/2016	Fine	3023
FL	WEST BAY OF TAMPA	07/17/2017	Fine	595
FL	TREASURE ISLE CARE CENTER	05/10/2018	Fine	13627
FL	HABANA HEALTH CARE CENTER	08/20/2016	Fine	40738
FL	MANORCARE NURSING AND REHABILITATION CENTER	06/07/2017	Fine	1575
FL	BENEVA LAKES HEALTHCARE AND REHABILITATION CENTER	03/21/2017	Payment Denial	
FL	BENEVA LAKES HEALTHCARE AND REHABILITATION CENTER	03/21/2017	Fine	438333
FL	BENEVA LAKES HEALTHCARE AND REHABILITATION CENTER	05/24/2018	Fine	25604
FL	HABANA HEALTH CARE CENTER	11/16/2017	Fine	21158
FL	HABANA HEALTH CARE CENTER	08/20/2016	Payment Denial	
FL	CARE CENTER AT PINELLAS PARK, THE	11/20/2017	Fine	6355
FL	WEST BAY OF TAMPA	10/26/2018	Fine	6663
FL	GATEWAY CARE CENTER	10/11/2016	Fine	158425
FL	GATEWAY CARE CENTER	01/11/2019	Fine	4419
FL	CONSULATE HEALTH CARE OF SAFETY HARBOR	06/18/2018	Fine	13283
FL	PALM GARDEN OF CLEARWATER	04/13/2017	Fine	350628
FL	NSPIRE HEALTHCARE KENDALL	08/04/2016	Fine	30904
FL	NSPIRE HEALTHCARE KENDALL	02/06/2017	Fine	7030
GA	HABERSHAM HOME	05/18/2017	Fine	18605
GA	EFFINGHAM CARE CENTER	08/16/2018	Fine	12005
GA	SIGNATURE HEALTHCARE OF MARIETTA	02/03/2019	Fine	177986
GA	DOUGLASVILLE NURSING AND REHABILITATION CENTER	10/05/2016	Fine	235799
